證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
6834,天二科技,"434,631",259,"12,718,791",30.05,30.40,28.50,29.25,225.00
6835,圓裕,"162,121",133,"6,611,792",41.60,41.60,40.15,41.20,12.15
6838,台新藥,"309,183",257,"10,401,594",34.25,34.30,33.00,33.60,0.00
6854,錼創科技-KY創,"1,337,939","1,165","261,967,705",201.00,204.00,188.00,200.00,0.00
6861,睿生光電,"74,162",241,"4,500,433",62.80,62.80,59.00,60.30,21.08
6862,三集瑞-KY,"234,806",248,"36,398,557",161.50,162.00,149.50,153.00,17.15
6863,永道-KY,"1,236,767","2,077","314,415,719",261.50,261.50,246.50,255.50,26.61
6869,雲豹能源,"1,946,762","1,966","291,932,285",150.50,153.00,147.00,152.00,74.88
6873,泓德能源,"1,463,663","1,802","281,164,339",200.00,200.00,189.00,189.00,20.11
6885,全福生技,"301,679",221,"9,017,799",30.40,30.40,29.70,29.75,0.00
6890,來億-KY,"2,610,518","2,924","1,142,237,621",434.00,448.00,423.50,445.00,80.47
6901,鑽石投資,"1,208,864",965,"36,673,287",31.80,31.80,29.95,30.10,0.00
6902,GOGOLOOK-創,"17,334",31,"1,978,600",117.00,117.50,111.50,116.00,0.00
6906,現觀科,"273,076",322,"35,316,024",133.50,133.50,126.50,130.00,39.27
6914,阜爾運通,"59,360",110,"6,926,659",117.50,119.50,114.50,115.00,16.17
6916,華凌,"43,000",30,"961,650",22.55,22.90,21.90,22.90,143.12
6919,康霈*,"2,230,890","10,322","1,440,367,634",659.00,668.00,632.00,635.00,0.00
6923,中台,"46,416",82,"3,584,875",78.80,78.80,76.60,78.10,22.70
6924,榮惠-KY創,"15,000",10,"1,359,800",91.50,92.00,89.50,91.60,16.36
6928,攸泰科技,"1,275,453","1,433","86,186,742",65.30,70.40,65.20,67.40,0.00
6933,AMAX-KY,"315,897","1,389","66,672,398",213.50,219.00,203.00,206.00,53.79
6937,天虹,"1,621,825","2,214","517,493,076",329.00,330.50,313.00,318.50,52.56
6949,沛爾生醫-創,"4,103",7,"324,234",78.60,80.20,78.50,80.20,0.00
6951,青新-創,"111,928",203,"7,708,656",71.20,71.20,67.50,69.10,17.28
6952,大武山,"20,510",28,"981,685",47.80,48.50,47.25,48.05,25.97
6955,邦睿生技-創,"18,012",15,"2,598,792",145.00,145.50,143.00,145.50,56.61
6957,裕慶-KY,"909,510",907,"194,718,722",228.00,228.00,211.00,211.00,13.24
6958,日盛台駿,"136,258",146,"3,161,172",23.70,23.95,22.95,23.20,19.33
6962,ITH-KY,"1,788,156","1,703","88,846,572",50.70,51.20,49.25,49.35,20.23
6969,成信實業*-創,"128,003",75,"5,557,385",43.70,45.00,42.00,42.30,0.00
6988,威力暘-創,"47,000",22,"1,251,000",26.90,27.00,26.25,26.70,"2,670.00"
7705,三商餐飲,"139,082",217,"9,485,067",68.60,69.10,67.90,68.00,16.19
7722,LINEPAY,"401,006","2,783","231,792,709",590.00,594.00,559.00,583.00,56.77
8011,台通,"1,320,244",803,"29,370,659",22.95,22.95,22.05,22.10,28.33
8016,矽創,"776,017","1,033","160,133,741",210.50,210.50,204.00,206.50,13.28
8021,尖點,"1,310,396","1,066","41,461,392",32.65,32.65,31.10,31.65,23.27
8028,昇陽半導體,"12,155,036","8,968","1,491,357,471",127.00,127.50,119.50,121.00,71.18
8033,雷虎,"1,272,812","1,204","80,441,272",63.60,63.80,62.00,63.50,244.23
8039,台虹,"7,828,293","5,890","342,725,908",46.30,46.30,42.65,42.95,17.53
8045,達運光電,"800,497",828,"84,845,756",112.00,112.00,104.00,105.00,16.43
8046,南電,"2,837,885","2,470","348,897,833",126.50,126.50,121.00,122.00,91.04
8070,長華*,"3,458,109","2,477","142,802,910",42.00,42.00,40.85,41.05,21.05
8072,陞泰,"70,872",371,"1,648,292",23.65,23.65,23.00,23.20,29.00
8081,致新,"525,279",738,"117,050,779",226.50,226.50,221.50,222.00,13.14
8101,華冠,"121,647",103,"2,429,548",20.00,20.30,19.50,19.50,0.00
8103,瀚荃,"1,042,996",775,"48,729,616",47.90,48.35,45.85,46.50,16.09
8104,錸寶,"1,320,233","1,222","53,792,612",42.60,42.60,40.00,40.15,334.58
