證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
1540,喬福,"868,768",684,"27,167,876",31.70,31.70,30.90,31.40,17.07
1541,錩泰,"2,313",10,"56,857",24.40,24.60,24.40,24.60,17.32
1558,伸興,"44,628",65,"4,737,714",105.50,107.00,105.00,106.00,17.41
1560,中砂,"1,185,476","8,864","339,264,218",284.00,291.00,281.50,290.00,44.27
1563,巧新,"370,196",438,"21,161,194",56.90,57.70,56.50,57.50,18.03
1568,倉佑,"44,579",111,"1,186,210",26.60,26.80,26.50,26.60,27.42
1582,信錦,"579,974",829,"53,451,161",90.60,92.90,90.60,92.80,13.69
1583,程泰,"15,150",19,"928,970",61.20,61.60,60.80,61.40,11.72
1587,吉茂,"363,588",371,"12,262,582",32.80,34.60,32.80,34.60,0.00
1589,永冠-KY,"170,820",297,"5,869,355",34.45,34.80,33.90,34.70,0.00
1590,亞德客-KY,"711,016",949,"607,771,577",849.00,875.00,839.00,862.00,22.92
1597,直得,"4,594,401","3,599","465,862,458",102.50,104.50,99.00,104.00,150.72
1598,岱宇,"478,838",711,"14,624,973",30.95,30.95,30.00,30.80,0.00
1603,華電,"158,759",147,"5,391,764",33.50,34.20,33.50,33.95,11.35
1604,聲寶,"101,277",125,"2,820,619",27.95,27.95,27.80,27.85,13.59
1605,華新,"9,195,291","3,912","205,393,465",21.90,22.50,21.90,22.50,24.19
1608,華榮,"669,440",456,"16,320,917",24.15,24.50,24.15,24.50,11.72
1609,大亞,"2,262,260","2,317","90,038,992",40.00,40.30,39.50,39.80,17.93
1611,中電,"412,758",331,"6,009,589",14.50,14.70,14.45,14.70,28.27
1612,宏泰,"389,924",295,"12,058,444",30.80,31.20,30.80,30.95,12.48
1614,三洋電,"50,120",45,"1,916,743",38.30,38.35,38.10,38.30,54.71
1615,大山,"41,000",76,"2,232,213",55.00,55.00,54.00,54.50,14.08
1616,億泰,"184,550",133,"3,193,974",17.45,17.50,17.20,17.45,16.01
1617,榮星,"172,772",274,"2,699,900",15.35,15.90,15.35,15.90,0.00
1618,合機,"7,237,849","4,697","341,753,513",47.00,48.45,45.50,45.65,12.79
1626,艾美特-KY,"10,600",76,"141,060",13.20,13.35,13.20,13.35,0.00
1702,南僑,"341,597",371,"16,477,598",48.00,48.50,48.00,48.30,10.34
1707,葡萄王,"100,806",274,"14,810,906",147.50,147.50,146.50,146.50,14.77
1708,東鹼,"844,403",587,"30,534,440",35.70,36.40,35.70,36.40,10.34
1709,和益,"235,554",200,"4,727,748",19.95,20.20,19.95,20.05,13.64
1710,東聯,"842,772",572,"11,485,992",13.40,13.80,13.40,13.80,0.00
1711,永光,"1,645,419","1,026","33,885,026",20.25,20.80,20.25,20.80,59.43
1712,興農,"257,069",354,"11,389,056",44.00,44.80,43.80,44.45,18.29
1713,國化,"49,028",65,"2,228,977",45.30,45.75,45.10,45.60,13.73
1714,和桐,"655,244",337,"5,114,860",7.79,7.85,7.76,7.82,17.38
1717,長興,"1,291,338",698,"35,311,108",27.30,27.55,27.15,27.30,18.32
1718,中纖,"1,825,767",825,"13,324,167",7.21,7.34,7.21,7.29,0.00
1720,生達,"163,891",146,"10,069,399",60.70,61.80,60.70,61.50,12.97
1721,三晃,"1,839,659",739,"27,879,582",14.90,15.30,14.90,15.20,0.00
1722,台肥,"2,301,749",794,"114,732,558",49.60,50.00,49.55,50.00,28.41
1723,中碳,"174,976",245,"15,634,919",88.20,89.80,88.20,89.60,16.53
1725,元禎,"139,005",99,"4,458,462",31.50,32.90,31.20,32.40,18.41
1726,永記,"16,198",30,"1,213,098",75.00,75.00,74.60,74.70,14.56
1727,中華化,"429,236",361,"12,075,027",27.80,28.50,27.70,28.50,77.03
1730,花仙子,"14,663",46,"775,733",52.90,53.00,52.70,53.00,14.10
1731,美吾華,"35,007",26,"789,811",22.60,22.60,22.50,22.50,17.31
1732,毛寶,"2,482,933","1,717","75,081,948",31.55,31.60,29.70,29.80,156.84
1733,五鼎,"97,147",89,"2,903,160",29.80,30.00,29.70,29.90,28.48
1734,杏輝,"110,151",177,"3,375,770",30.60,30.85,30.60,30.60,16.63
1735,日勝化,"29,280",145,"538,588",18.30,18.60,18.30,18.50,19.27
1736,喬山,"1,948,952","4,433","362,127,351",180.50,191.50,177.00,190.00,44.92
1737,臺鹽,"89,334",153,"2,815,362",31.55,31.55,31.45,31.55,21.17
1752,南光,"87,085",86,"3,622,436",42.00,42.00,41.45,41.45,34.26
1760,寶齡富錦,"98,355",152,"7,989,953",80.00,82.20,80.00,81.20,57.18
1762,中化生,"84,149",206,"2,773,332",33.00,33.20,32.75,33.15,26.31
1773,勝一,"435,165",505,"65,273,898",147.00,152.50,146.00,152.50,21.75
1776,展宇,"94,149",81,"1,702,568",17.95,18.30,17.90,18.30,19.47
1783,和康生,"251,206",489,"13,136,714",52.30,53.00,51.90,52.10,29.94
1786,科妍,"1,879,895","1,911","213,120,218",109.50,115.50,109.50,113.50,36.97
1789,神隆,"362,019",277,"7,978,573",22.10,22.30,21.95,22.00,44.00
1795,美時,"1,084,793","1,897","286,512,688",263.50,268.50,261.50,263.50,16.13
1802,台玻,"5,207,919","2,443","79,169,892",15.15,15.45,15.00,15.30,0.00
1805,寶徠,"156,682",123,"2,373,843",14.50,15.70,14.50,15.45,103.00
1806,冠軍,"1,389,254",679,"12,580,926",9.05,9.19,8.96,9.12,41.45
1808,潤隆,"790,843",572,"28,528,190",35.60,36.55,35.30,36.20,4.24
1809,中釉,"321,968",304,"5,976,014",18.50,18.70,18.30,18.70,85.00
1810,和成,"259,377",172,"4,383,329",16.80,17.10,16.75,16.85,54.35
1817,凱撒衛,"39,373",234,"1,665,693",42.50,42.65,42.15,42.20,9.63
1903,士紙,"160,142",138,"8,028,629",49.80,50.80,49.80,49.85,0.00
